id,teamId,firstName,lastName,marketValue,averagePoints,games,gamesPlayed,start11,totalPlaytimeS,totalPoints,status,position,playerImage,number,trend,pointsPerValue,pointsStdDev,history,name,marketChangeToday
173,2,Jonathan,Tah,36494720.0,127.0,28.0,28.0,23.0,135209.0,3559.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/173.png,4.0,1,97.0,,"[{""hasPlayed"": true, ""points"": 146}, {""hasPlayed"": true, ""points"": 53}, {""hasPlayed"": true, ""points"": 84}, {""hasPlayed"": true, ""points"": 59}, {""hasPlayed"": false, ""points"": null}]",Jonathan Tah,75071.0
237,2,Manuel,Neuer,12452811.0,95.0,22.0,22.0,22.0,124205.0,2083.0,0,1,https://kickbase.b-cdn.net/pool/playersbig/237.png,1.0,1,167.0,,"[{""hasPlayed"": true, ""points"": 45}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Manuel Neuer,27824.0
383,2,Sven,Ulreich,1578651.0,125.0,1.0,1.0,1.0,6244.0,125.0,0,1,https://kickbase.b-cdn.net/pool/playersbig/383.png,26.0,1,79.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Sven Ulreich,143692.0
1685,2,Joshua,Kimmich,59503193.0,186.0,29.0,29.0,24.0,151968.0,5391.0,0,3,https://kickbase.b-cdn.net/pool/playersbig/1685.png,6.0,1,90.0,,"[{""hasPlayed"": true, ""points"": 317}, {""hasPlayed"": true, ""points"": 238}, {""hasPlayed"": true, ""points"": 83}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 215}]",Joshua Kimmich,31936.0
1961,2,Serge,Gnabry,18897384.0,142.0,21.0,21.0,16.0,80707.0,2980.0,2,3,https://kickbase.b-cdn.net/pool/playersbig/1961.png,7.0,1,157.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Serge Gnabry,24229.0
1991,2,Dayotchanculle,Upamecano,33266432.0,119.0,24.0,24.0,21.0,119193.0,2858.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/1991.png,2.0,1,85.0,,"[{""hasPlayed"": true, ""points"": 152}, {""hasPlayed"": true, ""points"": 71}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}]",Dayotchanculle Upamecano,81497.0
2038,2,Konrad,Laimer,34048270.0,136.0,29.0,29.0,22.0,131747.0,3943.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/2038.png,27.0,1,115.0,,"[{""hasPlayed"": true, ""points"": 69}, {""hasPlayed"": true, ""points"": 135}, {""hasPlayed"": true, ""points"": 95}, {""hasPlayed"": true, ""points"": 241}, {""hasPlayed"": true, ""points"": 39}]",Konrad Laimer,45121.0
2300,2,Josip,Stanišić,27509885.0,128.0,26.0,26.0,19.0,124437.0,3330.0,0,2,https://kickbase.b-cdn.net/pool/playersbig/2300.png,44.0,2,121.0,,"[{""hasPlayed"": true, ""points"": 70}, {""hasPlayed"": true, ""points"": 172}, {""hasPlayed"": true, ""points"": 46}, {""hasPlayed"": true, ""points"": 72}, {""hasPlayed"": true, ""points"": 105}]",Josip Stanišić,-574059.0
2366,2,Alphonso,Davies,15625705.0,86.0,13.0,13.0,6.0,36386.0,1116.0,2,2,https://kickbase.b-cdn.net/pool/playersbig/2366.png,19.0,1,71.0,,"[{""hasPlayed"": false, ""points"": null}, {""hasPlayed"": false, ""points"": null}, {""hasPlayed"": true, ""points"": 63}, {""hasPlayed"": true, ""points"": 92}, {""hasPlayed"": true, ""points"": 200}]",Alphonso Davies,-26512.0
2804,2,Jamal,Musiala,34841892.0,98.0,15.0,15.0,7.0,45579.0,1476.0,2,3,https://kickbase.b-cdn.net/pool/playersbig/2804.png,10.0,1,42.0,,"[{""hasPlayed"": true, ""points"": 36}, {""hasPlayed"": true, ""points"": 100}, {""hasPlayed"": true, ""points"": 42}, {""hasPlayed"": true, ""points"": 198}, {""hasPlayed"": true, ""points"": 125}]",Jamal Musiala,71333.0
